Millis,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z
2285317,0.88,0.18,-0.40,0.16,8.85,-4.45,-2.17
2285349,0.88,0.18,-0.41,0.16,8.80,-4.25,-2.10
2285381,0.88,0.18,-0.41,0.16,8.77,-4.19,-2.02
2285414,0.88,0.18,-0.41,0.16,8.67,-4.25,-1.99
2285446,0.88,0.18,-0.41,0.16,8.70,-4.28,-2.01
2285478,0.88,0.18,-0.42,0.16,8.77,-4.32,-2.03
2285511,0.88,0.18,-0.42,0.16,8.75,-4.37,-2.08
2285544,0.87,0.18,-0.42,0.16,8.75,-4.32,-2.10
2285577,0.87,0.18,-0.42,0.16,8.76,-4.30,-2.12
2285610,0.87,0.18,-0.42,0.16,8.75,-4.26,-2.10
2285643,0.87,0.18,-0.43,0.16,8.75,-4.26,-2.12
2285676,0.87,0.18,-0.43,0.16,8.79,-4.28,-2.10
2285709,0.87,0.18,-0.43,0.16,8.82,-4.23,-2.08
2285742,0.87,0.18,-0.43,0.16,8.82,-4.25,-2.07
2285775,0.87,0.18,-0.43,0.16,8.83,-4.27,-2.08
2285808,0.87,0.19,-0.44,0.16,8.82,-4.28,-2.13
2285841,0.86,0.19,-0.44,0.16,8.79,-4.27,-2.14
2285874,0.86,0.19,-0.44,0.16,8.83,-4.26,-2.11
2285907,0.86,0.19,-0.44,0.16,8.94,-4.29,-2.11
2285940,0.86,0.19,-0.45,0.16,8.92,-4.34,-2.11
2285973,0.86,0.19,-0.45,0.16,9.01,-4.35,-2.10
2286006,0.85,0.19,-0.46,0.16,9.02,-4.42,-2.05
2286039,0.85,0.19,-0.46,0.16,8.98,-4.43,-2.04
2286072,0.85,0.19,-0.47,0.16,8.78,-4.36,-1.98
2286104,0.84,0.20,-0.47,0.16,8.58,-4.55,-1.97
2286137,0.84,0.20,-0.48,0.16,8.44,-4.53,-1.92
2286170,0.84,0.20,-0.48,0.16,8.27,-4.51,-1.92
2286203,0.84,0.20,-0.48,0.16,8.24,-4.66,-1.90
2286235,0.84,0.20,-0.49,0.16,8.35,-4.65,-1.90
2286267,0.83,0.20,-0.49,0.16,8.47,-4.65,-1.90
2286299,0.83,0.20,-0.49,0.16,8.49,-4.74,-1.94
2286331,0.83,0.20,-0.49,0.16,8.54,-4.75,-1.96
2286363,0.83,0.20,-0.49,0.16,8.55,-4.78,-1.96
2286395,0.83,0.20,-0.49,0.16,8.54,-4.79,-1.94
2286427,0.83,0.20,-0.50,0.16,8.57,-4.76,-1.88
2286460,0.83,0.20,-0.50,0.16,8.70,-4.74,-1.87
2286492,0.83,0.19,-0.50,0.16,8.72,-4.70,-1.87
2286525,0.83,0.19,-0.50,0.16,8.66,-4.63,-1.85
2286558,0.83,0.19,-0.50,0.16,8.51,-4.61,-1.85
2286590,0.83,0.19,-0.51,0.16,8.52,-4.51,-1.79
2286623,0.83,0.19,-0.51,0.16,8.54,-4.38,-1.75
2286655,0.83,0.19,-0.51,0.15,8.63,-4.24,-1.75
2286687,0.83,0.19,-0.50,0.15,8.78,-4.23,-1.79
2286720,0.83,0.19,-0.50,0.15,8.91,-4.40,-1.88
2286752,0.83,0.18,-0.50,0.14,9.18,-4.40,-2.01
2286784,0.83,0.18,-0.51,0.14,9.18,-4.43,-2.05
2286817,0.83,0.18,-0.51,0.14,9.14,-4.37,-2.00
2286849,0.83,0.18,-0.51,0.13,9.13,-4.30,-1.96
2286881,0.83,0.18,-0.51,0.13,9.01,-4.27,-1.85
2286913,0.83,0.18,-0.52,0.13,8.99,-4.24,-1.79
2286946,0.82,0.18,-0.52,0.13,8.94,-4.17,-1.65
2286978,0.82,0.18,-0.52,0.12,8.91,-4.27,-1.64
2287010,0.82,0.18,-0.53,0.12,8.85,-4.30,-1.62
2287042,0.82,0.18,-0.53,0.11,8.80,-4.32,-1.62
2287074,0.82,0.18,-0.53,0.11,8.78,-4.41,-1.64
2287106,0.82,0.18,-0.54,0.11,8.87,-4.43,-1.64
2287139,0.82,0.18,-0.54,0.11,8.91,-4.47,-1.58
2287171,0.81,0.18,-0.54,0.10,8.93,-4.61,-1.55
2287204,0.81,0.18,-0.55,0.10,8.98,-4.63,-1.54
2287236,0.81,0.18,-0.55,0.10,9.04,-4.73,-1.52
2287268,0.80,0.18,-0.56,0.10,8.99,-4.80,-1.52
2287300,0.80,0.18,-0.57,0.10,8.92,-4.88,-1.58
2287332,0.79,0.18,-0.58,0.10,8.90,-5.13,-1.56
2287364,0.78,0.18,-0.59,0.10,8.74,-5.18,-1.59
2287396,0.78,0.17,-0.60,0.11,8.33,-5.28,-1.59
2287428,0.77,0.17,-0.60,0.11,7.95,-5.52,-1.62
2287460,0.77,0.17,-0.61,0.11,7.78,-5.71,-1.60
2287493,0.76,0.17,-0.61,0.11,7.72,-5.86,-1.61
2287525,0.76,0.17,-0.62,0.11,7.66,-5.97,-1.58
2287557,0.76,0.17,-0.62,0.11,7.60,-6.09,-1.59
2287590,0.75,0.18,-0.62,0.11,7.52,-6.20,-1.50
2287622,0.75,0.18,-0.62,0.11,7.50,-6.32,-1.47
2287654,0.75,0.18,-0.63,0.11,7.52,-6.41,-1.47
2287686,0.75,0.18,-0.63,0.12,7.49,-6.48,-1.53
2287718,0.75,0.18,-0.63,0.12,7.42,-6.70,-1.57
2287751,0.74,0.18,-0.64,0.12,7.33,-6.77,-1.56
2287783,0.74,0.18,-0.64,0.12,7.18,-6.89,-1.46
2287815,0.74,0.18,-0.64,0.12,7.14,-6.88,-1.42
2287848,0.73,0.18,-0.64,0.12,7.00,-6.97,-1.38
2287881,0.73,0.18,-0.65,0.12,6.96,-7.05,-1.36
2287914,0.73,0.18,-0.65,0.12,6.84,-7.13,-1.38
2287947,0.73,0.18,-0.65,0.12,6.83,-7.23,-1.36
2287980,0.72,0.18,-0.66,0.11,6.73,-7.29,-1.37
2288013,0.72,0.18,-0.66,0.11,6.63,-7.37,-1.37
2288046,0.72,0.19,-0.66,0.11,6.54,-7.52,-1.37
2288079,0.71,0.19,-0.67,0.11,6.50,-7.59,-1.38
2288112,0.71,0.19,-0.67,0.11,6.58,-7.73,-1.34
2288145,0.70,0.19,-0.68,0.10,6.66,-8.03,-1.06
2288178,0.70,0.19,-0.68,0.10,6.99,-7.03,-0.94
2288211,0.69,0.20,-0.69,0.08,7.11,-7.27,-1.05
2288244,0.69,0.20,-0.70,0.06,6.78,-7.71,-1.16
2288277,0.68,0.21,-0.70,0.04,6.36,-7.98,-1.39
2288310,0.67,0.23,-0.70,0.01,6.07,-8.13,-1.42
2288343,0.67,0.24,-0.70,-0.01,5.44,-8.32,-1.42
2288376,0.67,0.25,-0.70,-0.04,4.76,-8.39,-1.37
2288409,0.66,0.27,-0.70,-0.07,4.28,-8.81,-1.22
2288442,0.66,0.28,-0.69,-0.09,4.08,-8.69,-0.98
2288475,0.66,0.29,-0.69,-0.10,4.10,-8.69,-0.78
2288508,0.66,0.29,-0.69,-0.12,4.19,-8.69,-0.60
2288541,0.65,0.30,-0.68,-0.13,4.24,-8.77,-0.52
2288573,0.65,0.30,-0.68,-0.14,4.25,-8.97,-0.56
2288605,0.65,0.30,-0.68,-0.15,4.10,-9.08,-0.60
2288638,0.65,0.30,-0.67,-0.15,4.02,-9.19,-0.65
2288671,0.66,0.31,-0.67,-0.16,4.10,-9.01,-0.59
2288704,0.66,0.31,-0.67,-0.16,4.00,-9.11,-0.56
2288737,0.66,0.31,-0.67,-0.16,4.29,-9.05,-0.45
2288769,0.66,0.31,-0.66,-0.17,4.48,-8.87,-0.41
2288802,0.66,0.31,-0.66,-0.17,4.25,-8.95,-0.46
2288834,0.67,0.31,-0.66,-0.17,4.34,-8.86,-0.52
2288866,0.67,0.31,-0.65,-0.16,4.55,-8.93,-0.60
2288899,0.68,0.31,-0.65,-0.16,4.77,-8.78,-0.61
2288932,0.68,0.31,-0.65,-0.16,5.05,-8.80,-0.50
2288965,0.69,0.30,-0.64,-0.16,5.27,-8.77,-0.46
2288998,0.69,0.30,-0.64,-0.15,5.32,-8.70,-0.43
2289031,0.69,0.30,-0.64,-0.15,5.32,-8.69,-0.44
2289064,0.69,0.30,-0.64,-0.15,5.48,-8.77,-0.34
2289096,0.70,0.30,-0.64,-0.15,5.78,-8.44,-0.21
2289129,0.70,0.30,-0.64,-0.15,5.63,-8.40,-0.23
2289162,0.70,0.29,-0.64,-0.14,5.44,-8.52,-0.28
2289195,0.70,0.29,-0.64,-0.14,5.46,-8.44,-0.40
2289228,0.70,0.28,-0.65,-0.14,5.16,-8.73,-0.66
2289260,0.69,0.27,-0.65,-0.13,4.78,-8.96,-0.82
2289292,0.69,0.25,-0.67,-0.12,4.64,-8.96,-0.99
2289325,0.68,0.24,-0.68,-0.11,4.71,-9.09,-1.08
2289357,0.68,0.22,-0.69,-0.10,4.55,-9.04,-1.28
2289390,0.67,0.20,-0.71,-0.09,4.17,-9.12,-1.44
2289423,0.67,0.19,-0.72,-0.08,3.86,-9.26,-1.51
2289456,0.66,0.17,-0.73,-0.07,3.46,-9.15,-1.52
2289489,0.65,0.16,-0.74,-0.06,3.02,-9.33,-1.54
2289521,0.65,0.15,-0.74,-0.05,2.83,-9.56,-1.52
2289554,0.65,0.14,-0.75,-0.04,2.53,-9.46,-1.57
2289587,0.64,0.14,-0.75,-0.04,2.33,-9.33,-1.68
2289619,0.64,0.13,-0.76,-0.03,2.07,-9.53,-1.71
2289651,0.63,0.12,-0.76,-0.03,1.98,-9.53,-1.80
2289684,0.63,0.12,-0.77,-0.02,1.77,-9.56,-1.88
2289717,0.63,0.11,-0.77,-0.02,1.43,-9.68,-1.99
