Line,Milis,Type,Side,W,X,Y,Z,,,,,,,,,,,,,,,,,
695,17931,DATA,L,1,-0.07,-0.01,0,,,,,,,,,,,,,,,,,
695,17949,DATA,R,0.97,-0.11,0.02,-0.21,,,,,,,,,,,,,,,,,
695,17971,DATA,L,1,-0.07,-0.01,0.01,,,,,,,,,,,,,,,,,
695,17988,DATA,R,0.97,-0.11,0.02,-0.21,,,,,,,,,,,,,,,,,
695,18011,DATA,L,1,-0.07,-0.01,0.01,,,,,,,,,,,,,,,,,
695,18027,DATA,R,0.97,-0.11,0.02,-0.21,,,,,,,,,,,,,,,,,
695,18051,DATA,L,1,-0.07,-0.01,0.01,,,,,,,,,,,,,,,,,
695,18067,DATA,R,0.97,-0.11,0.02,-0.21,,,,,,,,,,,,,,,,,
695,18091,DATA,L,1,-0.08,-0.01,0.01,,,,,,,,,,,,,,,,,
695,18107,DATA,R,0.97,-0.11,0.02,-0.21,,,,,,,,,,,,,,,,,
695,18131,DATA,L,1,-0.08,-0.01,0,,,,,,,,,,,,,,,,,
695,18147,DATA,R,0.97,-0.11,0.02,-0.21,,,,,,,,,,,,,,,,,
695,18171,DATA,L,1,-0.08,-0.01,0,,,,,,,,,,,,,,,,,
695,18187,DATA,R,0.97,-0.11,0.02,-0.21,,,,,,,,,,,,,,,,,
695,18211,DATA,L,1,-0.08,-0.01,0,,,,,,,,,,,,,,,,,
695,18227,DATA,R,0.97,-0.11,0.02,-0.21,,,,,,,,,,,,,,,,,
695,18251,DATA,L,1,-0.08,-0.02,0,,,,,,,,,,,,,,,,,
695,18267,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
695,18291,DATA,L,1,-0.08,-0.02,0,,,,,,,,,,,,,,,,,
695,18307,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
695,18331,DATA,L,1,-0.08,-0.02,0,,,,,,,,,,,,,,,,,
695,18347,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
695,18371,DATA,L,1,-0.08,-0.02,0,,,,,,,,,,,,,,,,,
695,18387,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
695,18411,DATA,L,1,-0.08,-0.02,0,,,,,,,,,,,,,,,,,
695,18427,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
695,18451,DATA,L,1,-0.08,-0.02,0,,,,,,,,,,,,,,,,,
695,18467,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
695,18491,DATA,L,1,-0.08,-0.02,0,,,,,,,,,,,,,,,,,
695,18507,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
695,18531,DATA,L,1,-0.08,-0.02,0,,,,,,,,,,,,,,,,,
695,18547,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
695,18571,DATA,L,1,-0.08,-0.02,-0.01,,,,,,,,,,,,,,,,,
695,18587,DATA,R,0.97,-0.11,0.02,-0.22,,,,,,,,,,,,,,,,,
695,18611,DATA,L,1,-0.08,-0.02,-0.01,,,,,,,,,,,,,,,,,
695,18627,DATA,R,0.97,-0.11,0.02,-0.23,,,,,,,,,,,,,,,,,
695,18651,DATA,L,1,-0.08,-0.02,-0.01,,,,,,,,,,,,,,,,,
695,18667,DATA,R,0.97,-0.11,0.02,-0.23,,,,,,,,,,,,,,,,,
695,18691,DATA,L,1,-0.08,-0.02,-0.02,,,,,,,,,,,,,,,,,
695,18707,DATA,R,0.97,-0.12,0.02,-0.23,,,,,,,,,,,,,,,,,
695,18731,DATA,L,1,-0.08,-0.02,-0.02,,,,,,,,,,,,,,,,,
695,18747,DATA,R,0.97,-0.12,0.02,-0.23,,,,,,,,,,,,,,,,,
695,18771,DATA,L,1,-0.08,-0.02,-0.02,,,,,,,,,,,,,,,,,
695,18787,DATA,R,0.96,-0.12,0.02,-0.23,,,,,,,,,,,,,,,,,
695,18811,DATA,L,1,-0.08,-0.02,-0.02,,,,,,,,,,,,,,,,,
695,18827,DATA,R,0.96,-0.12,0.02,-0.23,,,,,,,,,,,,,,,,,
695,18851,DATA,L,1,-0.08,-0.02,-0.02,,,,,,,,,,,,,,,,,
695,18867,DATA,R,0.96,-0.12,0.02,-0.23,,,,,,,,,,,,,,,,,
695,18891,DATA,L,1,-0.08,-0.02,-0.02,,,,,,,,,,,,,,,,,
695,18907,DATA,R,0.96,-0.12,0.02,-0.24,,,,,,,,,,,,,,,,,
695,18931,DATA,L,1,-0.09,-0.02,-0.02,,,,,,,,,,,,,,,,,
695,18947,DATA,R,0.96,-0.11,0.02,-0.24,,,,,,,,,,,,,,,,,
695,18971,DATA,L,1,-0.09,-0.02,-0.02,,,,,,,,,,,,,,,,,
695,18987,DATA,R,0.96,-0.11,0.02,-0.24,,,,,,,,,,,,,,,,,
695,19011,DATA,L,1,-0.09,-0.02,-0.02,,,,,,,,,,,,,,,,,
695,19027,DATA,R,0.96,-0.11,0.02,-0.24,,,,,,,,,,,,,,,,,
695,19051,DATA,L,1,-0.09,-0.02,-0.02,,,,,,,,,,,,,,,,,
695,19067,DATA,R,0.96,-0.11,0.02,-0.24,,,,,,,,,,,,,,,,,
695,19091,DATA,L,1,-0.09,-0.02,-0.02,,,,,,,,,,,,,,,,,
695,19107,DATA,R,0.96,-0.11,0.02,-0.24,,,,,,,,,,,,,,,,,
695,19131,DATA,L,1,-0.09,-0.02,-0.02,,,,,,,,,,,,,,,,,
695,19147,DATA,R,0.96,-0.11,0.02,-0.24,,,,,,,,,,,,,,,,,
695,19171,DATA,L,1,-0.09,-0.02,-0.02,,,,,,,,,,,,,,,,,
695,19187,DATA,R,0.96,-0.11,0.02,-0.24,,,,,,,,,,,,,,,,,
695,19211,DATA,L,1,-0.09,-0.02,-0.02,,,,,,,,,,,,,,,,,
695,19227,DATA,R,0.96,-0.11,0.02,-0.24,,,,,,,,,,,,,,,,,
695,19252,DATA,L,0.99,-0.1,-0.02,-0.02,,,,,,,,,,,,,,,,,
695,19267,DATA,R,0.97,-0.11,0.02,-0.24,,,,,,,,,,,,,,,,,
695,19292,DATA,L,0.99,-0.1,-0.02,-0.02,,,,,,,,,,,,,,,,,
695,19307,DATA,R,0.97,-0.11,0.02,-0.23,,,,,,,,,,,,,,,,,
695,19332,DATA,L,0.99,-0.1,-0.02,-0.02,,,,,,,,,,,,,,,,,
695,19347,DATA,R,0.97,-0.11,0.02,-0.23,,,,,,,,,,,,,,,,,
